area_position,region,province,istat,district,year,mounth,interruption_duration,interruption_duration_range,interruption_number,interruption_number_range,dur_number,client_number,altitude,altitude_range,coastal_region,mountain_region,urbanization,opex,opex_generated,capex,capex_generated,sales,ebitda,population_number,coordX,coordY,start_x,start_y
Nord,Triveneto,Vicenza,24070,MUSSOLENTE,2017,12,46078.27197,0,10738.90625,0,0-0,3095,129,5,0,NM,2,#N/A,108.06968,#N/A,2709.211869,#N/A,#N/A,7653,718422,5072597,0,0
Sud,Sicilia,Caltanissetta-Enna,85012,MUSSOMELI,2017,12,543070.945,0,27016.70615,1,0-1,5908,726,3,0,P,3,#N/A,31634.6551,#N/A,102911.8404,#N/A,#N/A,11010,925651,4167694,0,0
Nord,Triveneto,Udine-Monfalcone,30064,MUZZANADELTURGNANO,2017,12,8746.34421,0,4766.01614,0,0-0,1141,6,5,0,NM,3,#N/A,147.1239551,#N/A,977.6818866,#N/A,#N/A,2641,821221,5081503,0,0
Nord,Piemonte e Liguria,Vercelli-Biella,96038,MUZZANO,2017,12,13304.13192,0,306.2106712,0,0-0,341,565,1,0,T,2,#N/A,127.6226881,#N/A,2399.274884,#N/A,#N/A,614,419219,5047213,0,0
Nord,Triveneto,Vicenza,24071,NANTO,2017,12,10091.60083,0,9227.306626,0,0-0,1374,20,3,0,NM,3,#N/A,50.1808766,#N/A,1968.21246,#N/A,#N/A,3082,702846,5033637,0,0
Centro,Campania,Napoli-Pozzuoli,63049,NAPOLI,2017,12,3708259.432,1,29605.10279,1,2-1,94016,17,4,1,NM,1,#N/A,3087.533452,#N/A,35849.89916,#N/A,#N/A,962003,941734,4536299,0,0
Centro,Campania,Napoli-Pozzuoli,63049,NAPOLI,2017,12,1886677.656,1,20070.63438,0,2-1,64839,17,4,1,NM,1,#N/A,3087.533452,#N/A,35849.89916,#N/A,#N/A,962003,941734,4536299,0,0
Centro,Campania,Napoli-Pozzuoli,63049,NAPOLI,2017,12,7337994.022,3,27939.48479,1,2-1,217867,17,4,1,NM,1,#N/A,3087.533452,#N/A,35849.89916,#N/A,#N/A,962003,941734,4536299,0,0
Centro,Sardegna,Nuoro-Oristano,95031,NARBOLIA,2017,12,79115.0925,0,2233.615279,0,0-0,1008,57,5,1,NM,3,#N/A,2724.178293,#N/A,9366.219599,#N/A,#N/A,1801,460879,4433390,0,0
Sud,Puglia e Basilicata,Lecce-Maglie,75052,NARDO',2017,12,868767.5075,0,17524.606,0,0-0,21102,45,5,1,NM,3,#N/A,1973.618398,#N/A,8448.672925,#N/A,#N/A,31688,1262568,4492413,0,0
Centro,Toscana e Umbria,Umbria,55022,NARNI,2017,12,342239.6298,0,12416.45661,0,0-0,9707,240,3,0,P,2,#N/A,8348.444294,#N/A,26223.4318,#N/A,#N/A,20054,788808,4711917,0,0
